msgid 10000000
nhost 2560
0 8  3739 76213 0  3819 57942 0  8634 61768 0  9998 153927 0  14617 30114 0  14951 48466 0  22294 17716 0  22564 127438 0
1 8  1144 19240 0  1471 74404 0  3900 58000 0  7738 133990 0  12658 83367 0  15027 121674 0  16929 13231 0  19816 143326 0
2 8  1257 110611 0  1902 56470 0  4521 58449 0  6763 78685 0  13462 138538 0  15999 122366 0  17982 14049 0  21083 108196 0
3 8  92 37093 0  4259 40334 0  4557 58513 0  5848 132469 0  7842 61092 0  8284 80046 0  12499 137803 0  16301 49550 0
4 8  812 37555 0  5587 132179 0  5654 41411 0  8247 61417 0  10318 81598 0  11752 137163 0  14628 66734 0  18775 33494 0
5 8  434 37287 0  2961 2353 0  7617 60972 0  9786 62625 0  9975 62748 0  10215 7804 0  11119 82283 0  11527 137019 0
6 8  2547 2043 0  5326 131959 0  6775 133213 0  6942 60403 0  7707 60999 0  10996 136615 0  11281 82387 0  11469 64111 0
7 8  998 146683 0  3648 57813 0  7027 133394 0  11848 82816 0  13242 65489 0  19091 51612 0  19398 70305 0  20461 89450 0
8 8  2408 93553 0  2761 129866 0  8152 134246 0  8468 152620 0  16133 104223 0  16608 68243 0  17980 141738 0  20816 162409 0
9 8  1735 129106 0  2998 20694 0  7189 133531 0  7593 115648 0  10538 154310 0  11160 8630 0  20114 161782 0  21922 145182 0
10 9  586 18736 0  1909 19868 0  4376 40432 0  13086 10152 0  13562 156708 0  16532 158927 0  20073 70902 0  21094 144437 0  22259 109120 0
11 9  1756 19788 0  4972 77123 0  5577 114139 0  10367 154224 0  12140 155704 0  16220 49478 0  20059 143582 0  21240 16756 0  22867 109620 0
12 8  2320 129569 0  6196 78208 0  6320 41901 0  9064 25545 0  9476 153445 0  17134 141166 0  20423 52529 0  22862 18220 0
13 8  393 109935 0  3055 75655 0  8369 152553 0  11757 64343 0  12082 82977 0  12627 9749 0  17125 141163 0  19125 15073 0
14 8  498 55358 0  945 844 0  2788 129898 0  6875 151389 0  11979 9277 0  13021 138145 0  16827 122952 0  21998 17385 0
15 8  4912 131586 0  5249 41154 0  5544 4320 0  6056 150740 0  8311 80070 0  12850 138024 0  12856 83503 0  22670 18056 0
16 8  13 73231 0  6040 23033 0  6216 114593 0  7751 42964 0  11365 136897 0  11881 27926 0  12740 101586 0  20586 71303 0
17 8  3918 58005 0  4374 3447 0  5413 77495 0  9412 135329 0  10158 117872 0  11131 136699 0  13848 120746 0  16869 68431 0
18 8  4203 3354 0  5155 131764 0  7926 115977 0  8917 134958 0  10384 136122 0  10441 26684 0  14466 66580 0  20766 71408 0
19 8  5 91623 0  6857 151384 0  7853 97776 0  9022 80579 0  10911 63576 0  12432 64907 0  13861 29588 0  22265 72633 0
20 8  1634 92875 0  4663 21964 0  7193 42562 0  11002 82165 0  12844 28706 0  16840 31884 0  21142 35347 0  22045 145281 0
21 8  1249 128690 0  1504 19519 0  5523 114114 0  7102 23911 0  10300 81590 0  10867 82047 0  18505 33270 0  20041 143556 0
22 8  943 128476 0  2971 20668 0  7247 42600 0  9571 80974 0  10858 82032 0  15895 31147 0  19222 142749 0  19454 106966 0
23 8  925 128445 0  2361 56815 0  2836 20589 0  8680 80342 0  10327 81601 0  14806 30279 0  17917 141695 0  19202 106741 0
24 8  118 18457 0  9902 44673 0  10480 81741 0  11704 82693 0  12089 46284 0  13276 29067 0  18935 160998 0  22480 54472 0
25 8  4605 113424 0  6002 150679 0  9421 135335 0  10768 81998 0  12127 83005 0  13953 66135 0  15328 30648 0  17489 50377 0
26 8  7325 151764 0  11218 82318 0  12386 46533 0  12685 83377 0  14756 103125 0  19433 51840 0  21745 35861 0  21878 163231 0
27 8  3416 94369 0  6870 60374 0  9379 25781 0  10235 44884 0  13127 101864 0  13398 120412 0  18451 33215 0  20366 162040 0
28 8  1972 19912 0  3425 94372 0  11045 45436 0  12609 9708 0  13416 120422 0  13558 84007 0  17920 32739 0  19880 161612 0
29 8  248 91839 0  283 73438 0  4932 3844 0  6515 151114 0  11630 45881 0  14855 103177 0  16476 122666 0  18921 69930 0
30 8  607 73706 0  4589 149660 0  5185 22349 0  8895 61969 0  14333 102813 0  14568 121308 0  19765 34297 0  22472 54469 0
31 8  526 73640 0  1496 38071 0  3185 148443 0  9312 117249 0  14968 30394 0  16260 122539 0  19748 52052 0  20355 125605 0
32 8  6011 150685 0  7377 115484 0  8098 134197 0  9962 153875 0  11198 45552 0  11595 64233 0  14226 121029 0  20629 34927 0
33 8  579 55421 0  1887 111128 0  4740 113532 0  5267 41158 0  12559 83299 0  13117 83709 0  19133 161104 0  20269 34694 0
34 8  1288 19373 0  2503 20368 0  11846 46088 0  13135 83726 0  13378 83879 0  13452 120439 0  14588 157527 0  17145 13408 0
35 8  94 73302 0  8630 152724 0  11504 45800 0  13089 65383 0  14244 121032 0  17155 32113 0  19408 88568 0  22327 36459 0
36 8  3101 94084 0  3165 112308 0  5755 77853 0  7121 42496 0  8854 134896 0  13729 84130 0  13972 84293 0  17323 141321 0
37 8  207 193 0  3037 75648 0  4578 113411 0  12058 137435 0  12668 101509 0  12691 28569 0  13666 84088 0  14827 85055 0
38 8  2105 147581 0  5366 41227 0  9220 80684 0  9337 80767 0  10274 99567 0  16186 85978 0  17605 32530 0  19165 88361 0
39 8  901 19060 0  1790 147294 0  6053 96441 0  7535 42773 0  7573 79339 0  8562 61705 0  10302 117985 0  18597 69741 0
40 8  424 18639 0  755 146514 0  1849 74682 0  6709 78641 0  8282 43395 0  11938 82873 0  12336 119539 0  13026 65346 0
41 8  126 124 0  1255 74187 0  3680 148786 0  8227 24869 0  15266 48697 0  15285 67220 0  18777 69839 0  18879 124454 0
42 8  1516 74439 0  3609 2889 0  5318 150092 0  8784 6779 0  9681 117499 0  12297 64816 0  18344 51075 0  18906 124496 0
43 8  185 91787 0  575 146379 0  1768 74623 0  4527 3547 0  9612 7371 0  11909 46139 0  19005 124589 0  22285 145490 0
44 8  2278 20157 0  2656 20450 0  2965 75611 0  7137 5625 0  11025 8515 0  15883 140242 0  16509 68162 0  19896 125244 0
45 8  1097 146720 0  3163 75748 0  6357 59991 0  7195 79048 0  13647 65861 0  14787 11555 0  14949 11672 0  20004 125300 0
46 8  2180 38636 0  4270 76585 0  4412 40476 0  5749 132353 0  16866 13208 0  17639 159997 0  20085 125362 0  20500 143907 0
47 8  3350 39587 0  3865 76303 0  10579 81828 0  12801 65184 0  14624 157541 0  15343 139887 0  18707 106375 0  19692 15617 0
48 8  2603 38920 0  3685 76151 0  9457 135380 0  12275 155784 0  14740 139432 0  18144 14194 0  18582 124228 0  22019 108915 0
49 8  2351 38776 0  2582 148011 0  3487 75967 0  9885 62708 0  11968 137337 0  14985 11690 0  15482 48871 0  22734 18104 0
50 8  3401 148552 0  4477 76738 0  5285 41161 0  9826 135644 0  12431 46563 0  12614 101482 0  20950 144320 0  21717 17127 0
51 8  12 54925 0  4792 76960 0  6059 41720 0  8150 97971 0  11811 64412 0  14015 47808 0  15955 140276 0  18068 105920 0
52 8  990 874 0  4882 77036 0  6194 41771 0  14546 48127 0  15559 140047 0  19856 52124 0  20686 89666 0  20741 107943 0
53 8  5462 150190 0  5872 77922 0  7194 60616 0  11094 118550 0  12885 119998 0  15077 48538 0  15415 139934 0  21929 108830 0
54 8  3977 149046 0  5206 77319 0  7004 42431 0  9599 99149 0  15334 139884 0  17750 50634 0  18499 87866 0  21974 17353 0
55 8  6061 78092 0  12208 83061 0  13941 10803 0  14497 139286 0  14990 103286 0  15689 49099 0  18618 124265 0  21576 72049 0
56 8  1172 37848 0  8717 98432 0  13694 102257 0  13831 138772 0  18572 106295 0  19308 70261 0  20632 89627 0  22773 145834 0
57 8  3740 94682 0  9264 62274 0  11244 63920 0  11374 136901 0  11975 100955 0  18543 69725 0  22445 145616 0  22728 54758 0
58 8  323 146149 0  6404 96684 0  10454 99720 0  18399 69650 0  19028 51592 0  20954 53081 0  21131 162667 0  21319 144667 0
59 8  7126 133486 0  7295 97350 0  7591 79342 0  18067 87524 0  18431 160658 0  19109 51620 0  19137 70118 0  21199 90038 0
60 8  6727 78657 0  6988 78889 0  7890 115942 0  8699 98406 0  11402 155085 0  17509 87096 0  17966 50790 0  18850 88111 0
61 8  1641 56248 0  2348 147796 0  2593 20403 0  4464 3503 0  5920 132516 0  7672 79406 0  7986 61226 0  9572 99131 0
62 8  3860 148968 0  5064 113809 0  5547 59333 0  14342 102818 0  17240 105156 0  18193 87614 0  19416 70317 0  19911 70748 0
63 8  3195 2591 0  7908 115955 0  10470 63203 0  10752 118264 0  10881 8420 0  11872 27909 0  19461 70343 0  20005 143544 0
